data,nominal,curs,cdx
2024-01-10,100,19.9391,kzt
2024-01-11,100,19.7255,kzt
2024-01-12,100,19.5839,kzt
2024-01-13,100,19.4501,kzt
2024-01-14,100,19.4501,kzt
2024-01-15,100,19.4501,kzt
2024-01-16,100,19.4264,kzt
2024-01-17,100,19.4177,kzt
2024-01-18,100,19.5798,kzt
2024-01-19,100,19.5741,kzt
2024-01-20,100,19.6081,kzt
2024-01-21,100,19.6081,kzt
2024-01-22,100,19.6081,kzt
2024-01-23,100,19.5477,kzt
2024-01-24,100,19.5983,kzt
2024-01-25,100,19.793,kzt
2024-01-26,100,19.9035,kzt
2024-01-27,100,20.0695,kzt
2024-01-28,100,20.0695,kzt
2024-01-29,100,20.0695,kzt
2024-01-30,100,19.9246,kzt
2024-01-31,100,19.8428,kzt
2024-02-01,100,20.0075,kzt
2024-02-02,100,20.1523,kzt
2024-02-03,100,20.1634,kzt
2024-02-04,100,20.1634,kzt
2024-02-05,100,20.1634,kzt
2024-02-06,100,20.2206,kzt
2024-02-07,100,20.0115,kzt
2024-02-08,100,20.0513,kzt
2024-02-09,100,20.1832,kzt
2024-02-10,100,20.1826,kzt
2024-02-11,100,20.1826,kzt
2024-02-12,100,20.1826,kzt
2024-02-13,100,20.3703,kzt
2024-02-14,100,20.4167,kzt
2024-02-15,100,20.4093,kzt
2024-02-16,100,20.5344,kzt
2024-02-17,100,20.6555,kzt
2024-02-18,100,20.6555,kzt
2024-02-19,100,20.6555,kzt
2024-02-20,100,20.596,kzt
2024-02-21,100,20.5156,kzt
2024-02-22,100,20.4086,kzt
2024-02-23,100,20.575,kzt
2024-02-24,100,20.575,kzt
2024-02-25,100,20.575,kzt
2024-02-26,100,20.575,kzt
2024-02-27,100,20.5904,kzt
2024-02-28,100,20.4557,kzt
2024-02-29,100,20.4659,kzt
2024-03-01,100,20.1286,kzt
2024-03-02,100,20.2689,kzt
2024-03-03,100,20.2689,kzt
2024-03-04,100,20.2689,kzt
2024-03-05,100,20.2544,kzt
2024-03-06,100,20.1082,kzt
2024-03-07,100,20.0522,kzt
2024-03-08,100,20.2783,kzt
2024-03-09,100,20.2783,kzt
2024-03-10,100,20.2783,kzt
2024-03-11,100,20.2783,kzt
2024-03-12,100,20.2609,kzt
2024-03-13,100,20.245,kzt
2024-03-14,100,20.375,kzt
2024-03-15,100,20.3685,kzt
2024-03-16,100,20.4537,kzt
2024-03-17,100,20.4537,kzt
2024-03-18,100,20.4537,kzt
2024-03-19,100,20.5054,kzt
2024-03-20,100,20.5262,kzt
2024-03-21,100,20.5476,kzt
2024-03-22,100,20.3758,kzt
2024-03-23,100,20.5225,kzt
2024-03-24,100,20.5225,kzt
2024-03-25,100,20.5225,kzt
2024-03-26,100,20.5589,kzt
2024-03-27,100,20.5142,kzt
2024-03-28,100,20.5728,kzt
2024-03-29,100,20.522,kzt
2024-03-30,100,20.6105,kzt
2024-03-31,100,20.6105,kzt
2024-04-01,100,20.6105,kzt
2024-04-02,100,20.657,kzt
2024-04-03,100,20.7196,kzt
2024-04-04,100,20.6442,kzt
2024-04-05,100,20.6542,kzt
2024-04-06,100,20.6982,kzt
2024-04-07,100,20.6982,kzt
2024-04-08,100,20.6982,kzt
2024-04-09,100,20.7218,kzt
2024-04-10,100,20.7975,kzt
2024-04-11,100,20.8947,kzt
2024-04-12,100,20.9593,kzt
2024-04-13,100,20.8385,kzt
2024-04-14,100,20.8385,kzt
2024-04-15,100,20.8385,kzt
2024-04-16,100,20.8956,kzt
2024-04-17,100,20.9725,kzt
2024-04-18,100,21.0165,kzt
2024-04-19,100,20.9611,kzt
2024-04-20,100,20.8853,kzt
2024-04-21,100,20.8853,kzt
2024-04-22,100,20.8853,kzt
2024-04-23,100,20.8856,kzt
2024-04-24,100,20.9334,kzt
2024-04-25,100,20.8196,kzt
2024-04-26,100,20.7573,kzt
2024-04-27,100,20.7135,kzt
2024-04-28,100,20.7013,kzt
2024-04-29,100,20.7013,kzt
2024-04-30,100,20.7013,kzt
2024-05-01,100,20.7013,kzt
2024-05-02,100,20.7013,kzt
2024-05-03,100,20.8243,kzt
2024-05-04,100,20.6807,kzt
2024-05-05,100,20.6807,kzt
2024-05-06,100,20.6807,kzt
2024-05-07,100,20.6748,kzt
2024-05-08,100,20.7367,kzt
2024-05-09,100,20.8961,kzt
2024-05-10,100,20.8961,kzt
2024-05-11,100,20.8961,kzt
